Era{0}: --------------------
(0.605400, 0.359700)
(0.578994, 0.359584)
(0.594000, 0.353430)
(0.723269, 0.513394)
(0.540000, 0.297000)
(0.683735, 0.452678)
(0.638776, 0.400802)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{34}: --------------------
(0.775202, 0.581185)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.487140, 0.243870)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.551400, 0.303270)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.578994, 0.359584)
(0.594000, 0.353430)
(0.723269, 0.513394)
(0.540000, 0.297000)
(0.683735, 0.452678)
(0.638776, 0.400802)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{35}: --------------------
(0.775202, 0.581185)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.487140, 0.243870)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.551400, 0.303270)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.578994, 0.359584)
(0.594000, 0.353430)
(0.723269, 0.513394)
(0.540000, 0.297000)
(0.683735, 0.452678)
(0.638776, 0.400802)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{36}: --------------------
(0.775202, 0.581185)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.551400, 0.303270)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.594000, 0.353430)
(0.723269, 0.513394)
(0.540000, 0.297000)
(0.683735, 0.452678)
(0.638776, 0.400802)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{37}: --------------------
(0.775202, 0.581185)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.563031, 0.313912)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.594000, 0.353430)
(0.723269, 0.513394)
(0.540000, 0.297000)
(0.683735, 0.452678)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{38}: --------------------
(0.775202, 0.581185)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.563031, 0.313912)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.723269, 0.513394)
(0.540000, 0.297000)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{39}: --------------------
(0.709072, 0.505586)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.563031, 0.313912)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.723269, 0.513394)
(0.682450, 0.434773)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{40}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.563031, 0.313912)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.723269, 0.513394)
(0.682450, 0.434773)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{41}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.563031, 0.313912)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.723269, 0.513394)
(0.682450, 0.434773)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{42}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.620015, 0.364680)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.723269, 0.513394)
(0.627056, 0.387477)
(0.725554, 0.507845)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{43}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.608912, 0.391446)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.508698, 0.254800)
(0.632224, 0.402696)
(0.598434, 0.374847)
