Era{0}: --------------------
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(1.069619, 1.143296)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{103}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(1.046121, 1.087743)
(1.022162, 1.045161)
(0.962837, 0.929650)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(1.069619, 1.143296)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{104}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(0.962837, 0.929650)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(1.069619, 1.143296)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{105}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.024789, 1.043636)
(1.008186, 1.016731)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(0.962837, 0.929650)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(1.069619, 1.143296)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{106}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.024789, 1.043636)
(1.008186, 1.016731)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(0.962837, 0.929650)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.996344, 0.992659)
(1.069619, 1.143296)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{107}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(0.990751, 0.978665)
(1.008186, 1.016731)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(1.032502, 1.065157)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.996344, 0.992659)
(1.069619, 1.143296)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{108}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(0.990751, 0.978665)
(1.008186, 1.016731)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(1.031415, 1.062733)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.008876, 1.018638)
(0.994849, 0.988525)
(0.996344, 0.992659)
(1.069619, 1.143296)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{109}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.008682, 1.017505)
(1.008186, 1.016731)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(1.031415, 1.062733)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.008876, 1.018638)
(0.994849, 0.988525)
(0.996344, 0.992659)
(1.069619, 1.143296)
(1.017888, 1.035703)
(0.985543, 0.973273)

Era{110}: --------------------
(0.995158, 0.993402)
(0.994401, 0.988750)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.008682, 1.017505)
(1.008186, 1.016731)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(1.031415, 1.062733)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.008876, 1.018638)
(0.994849, 0.988525)
(0.996344, 0.992659)
(0.966270, 0.933836)
(1.017888, 1.035703)
(0.985543, 0.973273)

Era{111}: --------------------
(0.995158, 0.993402)
(0.994401, 0.988750)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.008682, 1.017505)
(1.008186, 1.016731)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(0.999763, 1.001124)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.008876, 1.018638)
(0.994849, 0.988525)
(0.996344, 0.992659)
(0.966270, 0.933836)
(1.017888, 1.035703)
(0.996790, 0.993355)

Era{112}: --------------------
(0.995158, 0.993402)
(0.994401, 0.988750)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.008682, 1.017505)
(1.008186, 1.016731)
(1.028442, 1.058843)
(0.991596, 0.982150)
(1.022162, 1.045161)
(0.999763, 1.001124)
(0.988846, 0.977595)
(1.023507, 1.048881)
(0.977312, 0.955571)
(1.008876, 1.018638)
(0.994849, 0.988525)
(0.996344, 0.992659)
(0.966270, 0.933836)
(1.017888, 1.035703)
(0.996790, 0.993355)

Era{113}: --------------------
(0.995158, 0.993402)
(0.994401, 0.988750)
(0.996129, 0.991400)
(0.978464, 0.958158)
(1.015546, 1.030783)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(0.991596, 0.982150)
(1.022162, 1.045161)
(0.999763, 1.001124)
(0.988846, 0.977595)
(0.996170, 0.991639)
(0.977312, 0.955571)
(1.000996, 1.002776)
(0.994849, 0.988525)
(0.996344, 0.992659)
(0.966270, 0.933836)
(0.988028, 0.977099)
(0.996790, 0.993355)

Era{114}: --------------------
(0.995158, 0.993402)
(0.994401, 0.988750)
(0.996129, 0.991400)
(0.978464, 0.958158)
(1.015546, 1.030783)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.007772, 1.015802)
(1.022162, 1.045161)
(0.999763, 1.001124)
(0.988846, 0.977595)
(0.996170, 0.991639)
(0.977312, 0.955571)
(1.000996, 1.002776)
(0.994849, 0.988525)
(0.996344, 0.992659)
(1.018980, 1.037179)
(0.988028, 0.977099)
(0.996790, 0.993355)

Era{115}: --------------------
(0.995158, 0.993402)
(0.994401, 0.988750)
(0.996129, 0.991400)
(1.006655, 1.015131)
(1.014243, 1.028362)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.007772, 1.015802)
(0.989210, 0.979309)
(0.999763, 1.001124)
(0.988846, 0.977595)
(0.996170, 0.991639)
(0.977312, 0.955571)
(1.000996, 1.002776)
(0.994849, 0.988525)
(0.996344, 0.992659)
(1.018980, 1.037179)
(0.988028, 0.977099)
(0.996790, 0.993355)

Era{116}: --------------------
(1.003101, 1.007305)
(0.994401, 0.988750)
(0.996129, 0.991400)
(1.004392, 1.008998)
(1.014243, 1.028362)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.007772, 1.015802)
(0.989210, 0.979309)
(0.999763, 1.001124)
(0.988846, 0.977595)
(0.996170, 0.991639)
(0.977312, 0.955571)
(1.000996, 1.002776)
(0.994849, 0.988525)
(0.996344, 0.992659)
(1.018980, 1.037179)
(0.998523, 0.997829)
(0.996790, 0.993355)

Era{117}: --------------------
(1.003101, 1.007305)
(0.994401, 0.988750)
(0.996129, 0.991400)
(1.004392, 1.008998)
(1.014243, 1.028362)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.007772, 1.015802)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(0.996170, 0.991639)
(0.977312, 0.955571)
(1.000996, 1.002776)
(0.994849, 0.988525)
(0.996344, 0.992659)
(1.018980, 1.037179)
(0.998523, 0.997829)
(0.996790, 0.993355)

Era{118}: --------------------
(1.003101, 1.007305)
(0.994401, 0.988750)
(0.996129, 0.991400)
(1.004392, 1.008998)
(1.014243, 1.028362)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(0.996170, 0.991639)
(0.977312, 0.955571)
(1.000996, 1.002776)
(0.994849, 0.988525)
(0.996344, 0.992659)
(1.018980, 1.037179)
(0.998523, 0.997829)
(0.996790, 0.993355)

Era{119}: --------------------
(1.003101, 1.007305)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.014243, 1.028362)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(0.996170, 0.991639)
(0.977312, 0.955571)
(1.000996, 1.002776)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(0.996790, 0.993355)

Era{120}: --------------------
(1.003101, 1.007305)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.014243, 1.028362)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(0.996170, 0.991639)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(0.996790, 0.993355)

Era{121}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.011711, 1.023759)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(1.006503, 1.013007)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(0.996790, 0.993355)

Era{122}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.011711, 1.023759)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(1.006503, 1.013007)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(0.996790, 0.993355)

Era{123}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.011711, 1.023759)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(1.006503, 1.013007)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(1.002313, 1.004441)

Era{124}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.000813, 1.002585)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(1.006503, 1.013007)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(1.002313, 1.004441)

Era{125}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.000813, 1.002585)
(1.008682, 1.017505)
(1.008186, 1.016731)
(0.994677, 0.990596)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.005251, 1.010138)
(0.994028, 0.987913)
(1.001316, 1.003181)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(1.002313, 1.004441)

Era{126}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.000813, 1.002585)
(1.008682, 1.017505)
(1.008186, 1.016731)
(1.007521, 1.015896)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.004368, 1.008742)
(0.994028, 0.987913)
(1.001316, 1.003181)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(1.002313, 1.004441)

Era{127}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.000813, 1.002585)
(0.998668, 0.996768)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.004368, 1.008742)
(0.994028, 0.987913)
(1.001316, 1.003181)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(0.998523, 0.997829)
(1.002313, 1.004441)

Era{128}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.000813, 1.002585)
(0.998668, 0.996768)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.004368, 1.008742)
(0.994028, 0.987913)
(1.001316, 1.003181)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(1.003971, 1.008472)
(1.002313, 1.004441)

Era{129}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.000813, 1.002585)
(0.998668, 0.996768)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.004368, 1.008742)
(0.994028, 0.987913)
(1.000877, 1.002082)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.996344, 0.992659)
(0.998523, 0.997126)
(1.003971, 1.008472)
(1.002313, 1.004441)

Era{130}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.004368, 1.008742)
(0.994028, 0.987913)
(1.000877, 1.002082)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.998457, 0.996629)
(0.998523, 0.997126)
(1.004621, 1.009380)
(1.002313, 1.004441)

Era{131}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.004368, 1.008742)
(0.998671, 0.997250)
(1.000877, 1.002082)
(0.977312, 0.955571)
(0.997125, 0.994036)
(0.999355, 0.998528)
(0.998457, 0.996629)
(0.998523, 0.997126)
(1.004621, 1.009380)
(1.002313, 1.004441)

Era{132}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.003184, 1.006400)
(0.998671, 0.997250)
(1.000877, 1.002082)
(0.977312, 0.955571)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(1.004621, 1.009380)
(1.002313, 1.004441)

Era{133}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.003184, 1.006400)
(0.998671, 0.997250)
(1.000877, 1.002082)
(0.977312, 0.955571)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(1.004621, 1.009380)
(1.002313, 1.004441)

Era{134}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(0.995420, 0.991101)
(1.003184, 1.006400)
(0.998671, 0.997250)
(1.000877, 1.002082)
(0.997372, 0.995317)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{135}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(1.003972, 1.007640)
(1.003184, 1.006400)
(0.998671, 0.997250)
(1.000877, 1.002082)
(0.997372, 0.995317)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{136}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(1.003972, 1.007640)
(1.003184, 1.006400)
(0.998671, 0.997250)
(1.000877, 1.002082)
(0.997372, 0.995317)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{137}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.005441, 1.011085)
(1.003972, 1.007640)
(1.003184, 1.006400)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.997372, 0.995317)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{138}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.006503, 1.013007)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.003184, 1.006400)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.997372, 0.995317)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{139}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.001215, 1.002967)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.993833, 0.987731)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{140}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.004392, 1.008998)
(1.001215, 1.002967)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.993833, 0.987731)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{141}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(1.004764, 1.009810)
(1.008186, 1.016731)
(0.995005, 0.990199)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.993833, 0.987731)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{142}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(1.004764, 1.009810)
(1.008186, 1.016731)
(1.000126, 1.000683)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.993833, 0.987731)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{143}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(1.004764, 1.009810)
(1.008186, 1.016731)
(1.000126, 1.000683)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.993833, 0.987731)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{144}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(1.004764, 1.009810)
(1.008186, 1.016731)
(1.000126, 1.000683)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.993833, 0.987731)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(0.996906, 0.993807)
(1.002313, 1.004441)

Era{145}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(1.004764, 1.009810)
(1.008186, 1.016731)
(1.000126, 1.000683)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(1.005775, 1.011575)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{146}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(1.004764, 1.009810)
(1.008186, 1.016731)
(1.000126, 1.000683)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(1.005775, 1.011575)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.998457, 0.996629)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{147}: --------------------
(0.999171, 0.997849)
(0.994401, 0.988750)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(0.998044, 0.996240)
(1.008186, 1.016731)
(1.000126, 1.000683)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(1.003196, 1.006513)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.997546, 0.995120)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{148}: --------------------
(0.999171, 0.997849)
(1.003100, 1.006478)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(0.998044, 0.996240)
(0.993771, 0.987316)
(1.000972, 1.002067)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.998556, 0.996977)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.997546, 0.995120)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{149}: --------------------
(0.999171, 0.997849)
(1.003100, 1.006478)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(0.998044, 0.996240)
(0.993771, 0.987316)
(1.000972, 1.002067)
(1.001937, 1.003877)
(1.003972, 1.007640)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.998556, 0.996977)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.997546, 0.995120)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{150}: --------------------
(0.999171, 0.997849)
(1.001968, 1.004224)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(0.998044, 0.996240)
(0.997113, 0.994743)
(1.000972, 1.002067)
(1.001937, 1.003877)
(1.000971, 1.002042)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.998556, 0.996977)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.997546, 0.995120)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{151}: --------------------
(0.999171, 0.997849)
(1.001968, 1.004224)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(0.998044, 0.996240)
(0.997113, 0.994743)
(1.000972, 1.002067)
(1.001937, 1.003877)
(1.000971, 1.002042)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.998556, 0.996977)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.997546, 0.995120)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{152}: --------------------
(0.999171, 0.997849)
(1.001968, 1.004224)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(0.998044, 0.996240)
(0.997113, 0.994743)
(1.000972, 1.002067)
(1.001937, 1.003877)
(1.000971, 1.002042)
(1.002017, 1.004205)
(0.998671, 0.997250)
(0.996922, 0.993865)
(0.998556, 0.996977)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.997546, 0.995120)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{153}: --------------------
(0.999171, 0.997849)
(1.001968, 1.004224)
(0.998685, 0.997431)
(1.002846, 1.005439)
(1.001215, 1.002967)
(0.998044, 0.996240)
(0.996564, 0.992906)
(1.000972, 1.002067)
(1.001937, 1.003877)
(1.000971, 1.002042)
(1.002017, 1.004205)
(0.998671, 0.997250)
(1.000464, 1.001049)
(0.998556, 0.996977)
(0.997125, 0.994036)
(1.000627, 1.001313)
(0.997546, 0.995120)
(0.998523, 0.997126)
(1.002713, 1.005327)
(1.002313, 1.004441)

Era{154}: --------------------
(0.999171, 0.997849)
(1.001968, 1.004224)
